[0],20
[1],5
[2],18
[3],27
[4],34
[5],48
[6],61
[7],65
[8],64
[9],68
[10],71
[11],77
[12],85
[13],99
[14],110
[15],110
[16],109
[17],108
[18],105
[19],111
[20],117
[21],117
[22],127
[23],127
[24],125
[25],121
[26],127
[27],118
[28],110
[29],111
[30],114
[31],107
[32],111
[33],108
[34],101
[35],96
[36],88
[37],82
[38],76
[39],77
[40],75
[41],72
[42],65
[43],67
[44],56
[45],42
[46],32
[47],21
[48],10
[49],0
[50],-4
[51],-12
[52],-15
[53],-24
[54],-29
[55],-33
[56],-38
[57],-49
[58],-59
[59],-69
[60],-82
[61],-87
[62],-95
[63],-95
[64],-97
[65],-105
[66],-111
[67],-111
[68],-119
[69],-120
[70],-117
[71],-120
[72],-117
[73],-118
[74],-118
[75],-120
[76],-116
[77],-117
[78],-114
[79],-113
[80],-117
[81],-115
[82],-117
[83],-119
[84],-113
[85],-100
[86],-97
[87],-90
[88],-83
[89],-80
[90],-78
[91],-73
[92],-63
[93],-49
[94],-40
[95],-33
[96],-27
[97],-20
[98],-13
[99],-8
[100],0
[101],14
[102],22
[103],23
[104],29
[105],33
[106],41
[107],46
[108],59
[109],67
[110],74
[111],76
[112],81
[113],90
[114],96
[115],102
[116],103
[117],106
[118],103
[119],105
[120],107
[121],112
[122],115
[123],117
[124],119
[125],127
[126],127
[127],127
[128],127
[129],123
[130],114
[131],111
[132],107
[133],100
[134],104
[135],100
[136],91
[137],87
[138],81
[139],67
[140],68
[141],63
[142],59
[143],58
[144],55
[145],40
[146],38
[147],29
[148],12
[149],-1
[150],-9
[151],-25
[152],-28
[153],-27
[154],-30
[155],-36
[156],-46
[157],-55
[158],-67
[159],-69
[160],-73
[161],-71
[162],-83
[163],-87
[164],-93
[165],-92
[166],-102
[167],-99
[168],-102
[169],-110
[170],-113
[171],-118
[172],-124
[173],-128
[174],-127
[175],-128
[176],-127
[177],-127
[178],-123
[179],-125
[180],-121
[181],-116
[182],-116
[183],-109
[184],-100
[185],-97
[186],-95
[187],-88
[188],-88
[189],-90
[190],-82
[191],-78
[192],-68
[193],-59
[194],-53
[195],-53
[196],-37
[197],-29
[198],-25
[199],-14
[200],0
[201],5
[202],15
[203],28
[204],39
[205],43
[206],46
[207],51
[208],51
[209],59
[210],69
[211],78
[212],83
[213],93
[214],100
[215],104
[216],112
[217],120
[218],127
[219],127
[220],127
[221],127
[222],126
[223],123
[224],127
[225],127
[226],127
[227],124
[228],127
[229],117
