[0],0.777
[1],0.223
[2],0.719
[3],1.059
[4],1.32
[5],1.878
[6],2.381
[7],2.561
[8],2.489
[9],2.661
[10],2.798
[11],3.002
[12],3.308
[13],3.863
[14],4.3
[15],4.317
[16],4.26
[17],4.21
[18],4.115
[19],4.351
[20],4.591
[21],4.583
[22],4.973
[23],5.157
[24],4.881
[25],4.724
[26],4.96
[27],4.596
[28],4.315
[29],4.359
[30],4.452
[31],4.201
[32],4.355
[33],4.207
[34],3.943
[35],3.754
[36],3.46
[37],3.19
[38],2.968
[39],3.018
[40],2.936
[41],2.811
[42],2.561
[43],2.618
[44],2.184
[45],1.658
[46],1.257
[47],0.819
[48],0.42
[49],0.018
[50],-0.145
[51],-0.46
[52],-0.588
[53],-0.914
[54],-1.119
[55],-1.288
[56],-1.48
[57],-1.916
[58],-2.303
[59],-2.698
[60],-3.177
[61],-3.367
[62],-3.675
[63],-3.709
[64],-3.762
[65],-4.076
[66],-4.302
[67],-4.316
[68],-4.637
[69],-4.68
[70],-4.538
[71],-4.66
[72],-4.564
[73],-4.598
[74],-4.604
[75],-4.678
[76],-4.495
[77],-4.559
[78],-4.435
[79],-4.407
[80],-4.554
[81],-4.48
[82],-4.553
[83],-4.616
[84],-4.395
[85],-3.881
[86],-3.771
[87],-3.482
[88],-3.242
[89],-3.123
[90],-3.03
[91],-2.83
[92],-2.441
[93],-1.899
[94],-1.556
[95],-1.286
[96],-1.041
[97],-0.774
[98],-0.485
[99],-0.317
[100],0.013
[101],0.566
[102],0.871
[103],0.891
[104],1.16
[105],1.284
[106],1.608
[107],1.787
[108],2.298
[109],2.637
[110],2.888
[111],2.982
[112],3.174
[113],3.509
[114],3.748
[115],4.004
[116],4.021
[117],4.152
[118],4.018
[119],4.121
[120],4.182
[121],4.367
[122],4.506
[123],4.555
[124],4.667
[125],4.946
[126],5.096
[127],5.022
[128],5.131
[129],4.818
[130],4.472
[131],4.327
[132],4.201
[133],3.927
[134],4.051
[135],3.892
[136],3.541
[137],3.386
[138],3.175
[139],2.636
[140],2.647
[141],2.477
[142],2.313
[143],2.268
[144],2.164
[145],1.585
[146],1.494
[147],1.128
[148],0.491
[149],-0.023
[150],-0.348
[151],-0.947
[152],-1.088
[153],-1.03
[154],-1.153
[155],-1.41
[156],-1.772
[157],-2.128
[158],-2.584
[159],-2.681
[160],-2.845
[161],-2.754
[162],-3.238
[163],-3.372
[164],-3.6
[165],-3.596
[166],-3.951
[167],-3.858
[168],-3.966
[169],-4.271
[170],-4.39
[171],-4.593
[172],-4.814
[173],-5.079
[174],-4.961
[175],-5.016
[176],-4.931
[177],-4.929
[178],-4.801
[179],-4.87
[180],-4.712
[181],-4.531
[182],-4.523
[183],-4.246
[184],-3.89
[185],-3.766
[186],-3.696
[187],-3.405
[188],-3.421
[189],-3.497
[190],-3.205
[191],-3.046
[192],-2.658
[193],-2.285
[194],-2.052
[195],-2.065
[196],-1.415
[197],-1.132
[198],-0.957
[199],-0.554
[200],0.021
[201],0.196
[202],0.585
[203],1.112
[204],1.53
[205],1.672
[206],1.787
[207],2.011
[208],2.014
[209],2.324
[210],2.685
[211],3.035
[212],3.266
[213],3.641
[214],3.897
[215],4.064
[216],4.37
[217],4.689
[218],5.025
[219],4.953
[220],5.062
[221],5.048
[222],4.928
[223],4.819
[224],5.124
[225],4.948
[226],5.026
[227],4.849
[228],4.988
[229],4.571
[230],4.633
[231],4.494
[232],4.483
[233],4.037
[234],3.917
[235],3.665
[236],3.259
[237],3.254
[238],3.208
[239],2.934
[240],2.897
[241],2.64
[242],2.204
[243],2.026
[244],2.034
[245],1.737
[246],1.443
[247],1.269
[248],0.68
[249],0.315
[250],0.065
[251],0.113
[252],-0.24
[253],-0.346
[254],-0.695
[255],-0.971
[256],-1.486
[257],-1.918
[258],-2.085
[259],-2.323
[260],-2.945
[261],-3.046
[262],-3.138
[263],-3.511
[264],-3.759
[265],-3.626
[266],-3.957
[267],-4.111
[268],-4.121
[269],-4.149
[270],-4.326
[271],-4.318
[272],-4.475
[273],-4.747
[274],-4.791
[275],-4.741
[276],-4.626
[277],-4.694
[278],-4.454
[279],-4.553
[280],-4.653
[281],-4.785
[282],-4.604
[283],-4.601
[284],-4.373
[285],-4.155
[286],-3.796
[287],-3.373
[288],-3.212
[289],-2.992
[290],-2.703
[291],-2.445
[292],-2.232
[293],-1.7
[294],-1.357
[295],-1.052
[296],-0.649
[297],-0.539
[298],-0.39
[299],0.048
[300],0.469
[301],0.644
[302],1.179
[303],1.617
[304],1.902
[305],2.193
[306],2.614
[307],2.952
[308],2.993
[309],2.893
[310],2.786
[311],2.946
[312],2.942
[313],3.204
[314],3.426
[315],3.99
[316],4.076
[317],4.157
[318],4.526
[319],4.683
[320],4.575
[321],4.602
[322],4.742
[323],4.687
[324],4.878
[325],4.911
[326],5.091
[327],5.03
[328],4.932
[329],4.795
[330],4.692
[331],4.416
[332],4.562
[333],4.571
[334],4.324
[335],4.22
[336],4.055
[337],3.748
[338],3.433
[339],3.308
[340],2.908
[341],2.615
[342],2.113
[343],1.761
[344],1.416
[345],1.173
[346],0.751
[347],0.738
[348],0.294
[349],0.153
[350],-0.163
[351],-0.48
[352],-0.786
[353],-0.988
[354],-1.397
[355],-1.659
[356],-1.741
[357],-2.008
[358],-2.14
[359],-2.291
[360],-2.667
[361],-3.138
[362],-3.416
[363],-3.631
[364],-4.018
[365],-4.126
[366],-4.046
[367],-4.202
[368],-4.599
[369],-4.803
[370],-5.018
[371],-5.07
[372],-5.095
[373],-5.008
[374],-4.827
[375],-4.584
[376],-4.657
[377],-4.638
[378],-4.655
[379],-4.772
[380],-4.78
[381],-4.589
[382],-4.666
[383],-4.364
[384],-3.951
[385],-3.717
[386],-3.493
[387],-3.162
[388],-3.173
[389],-2.878
[390],-2.607
[391],-2.533
[392],-2.507
[393],-2.204
[394],-2.158
[395],-1.802
[396],-1.539
[397],-1.094
[398],-0.578
[399],-0.377
[400],-0.224
[401],0.285
[402],0.707
[403],0.772
[404],1.183
[405],1.352
[406],1.674
[407],1.97
[408],2.328
[409],2.792
[410],3.094
[411],3.368
[412],3.429
[413],3.664
[414],3.89
[415],4.328
[416],4.328
[417],4.564
[418],4.612
[419],4.799
[420],4.906
[421],4.822
[422],4.878
[423],5.199
[424],4.999
[425],5.076
[426],5.091
[427],4.893
[428],4.741
[429],4.619
[430],4.34
[431],4.418
[432],4.569
[433],4.365
[434],4.184
[435],4.135
[436],3.877
[437],3.517
[438],3.381
[439],3.084
[440],2.866
[441],2.597
[442],2.393
[443],2.166
[444],1.885
[445],1.411
[446],1.251
[447],0.809
[448],0.506
[449],0.497
[450],0.413
[451],-0.157
[452],-0.202
[453],-0.61
[454],-1.085
[455],-1.454
[456],-1.582
[457],-2.023
[458],-2.476
[459],-2.656
[460],-3.238
[461],-3.675
[462],-3.835
[463],-3.825
[464],-4.106
[465],-4.123
[466],-4.19
[467],-4.408
[468],-4.465
[469],-4.419
[470],-4.541
[471],-4.65
[472],-4.824
[473],-4.887
[474],-5.168
[475],-5.097
[476],-5.187
[477],-4.949
[478],-5.21
[479],-4.938
[480],-4.799
[481],-4.686
[482],-4.511
[483],-4.09
[484],-3.878
[485],-3.938
[486],-3.475
[487],-3.372
[488],-3.37
[489],-3.184
[490],-2.698
[491],-2.369
[492],-1.955
[493],-1.386
[494],-1.141
[495],-0.941
[496],-0.609
[497],-0.501
[498],-0.571
[499],-0.178
[500],0.242
[501],0.554
[502],0.712
[503],1.268
[504],1.464
[505],1.615
[506],1.731
[507],2.18
[508],2.546
[509],2.953
[510],3.341
[511],3.401
[512],3.455
[513],3.586
[514],3.454
[515],3.536
[516],3.954
[517],4.094
[518],4.222
[519],4.698
[520],4.843
[521],4.859
[522],5.211
[523],5.058
[524],4.947
[525],5.006
[526],5.048
[527],5.08
[528],5.396
[529],5.485
[530],5.176
[531],5.056
[532],4.89
[533],4.454
[534],4.137
[535],4.23
[536],3.845
[537],3.629
[538],3.554
[539],3.337
[540],2.796
[541],2.531
[542],2.352
[543],2.037
[544],1.608
[545],1.629
[546],1.543
[547],1.059
[548],0.868
[549],0.73
[550],0.267
[551],-0.065
[552],-0.284
