[0]	11111010
[1]	00001001
[2]	00001100
[3]	00011111
[4]	00101100
[5]	00101101
[6]	00110110
[7]	00101010
[8]	00111100
[9]	01000000
[10]	01010111
[11]	01010001
[12]	01010011
[13]	01100000
[14]	01101001
[15]	01100110
[16]	01100011
[17]	01100100
[18]	01101011
[19]	01111110
[20]	01111100
[21]	01111111
[22]	01111111
[23]	01111111
[24]	01111011
[25]	01111111
[26]	01111111
[27]	01111001
[28]	01110001
[29]	01111010
[30]	01111000
[31]	01111111
[32]	01110011
[33]	01110001
[34]	01110100
[35]	01110010
[36]	01101111
[37]	01011100
[38]	01010011
[39]	01001100
[40]	00111111
[41]	01001010
[42]	01001001
[43]	00110001
[44]	00100011
[45]	00101110
[46]	00010100
[47]	00010110
[48]	00001010
[49]	00000010
[50]	00001011
[51]	11110111
[52]	11101001
[53]	11110011
[54]	11100001
[55]	11010010
[56]	11011100
[57]	11010101
[58]	11001001
[59]	10110101
[60]	10101100
[61]	10111001
[62]	10100000
[63]	10011100
[64]	10100010
[65]	10100100
[66]	10010101
[67]	10011010
[68]	10010111
[69]	10000110
[70]	10000101
[71]	10000111
[72]	10000000
[73]	10000101
[74]	10001011
[75]	10000110
[76]	10000000
[77]	10000000
[78]	10000011
[79]	10001001
[80]	10010000
[81]	10000111
[82]	10000010
[83]	10001110
[84]	10011000
[85]	10011101
[86]	10100111
[87]	10011000
[88]	10100101
[89]	10110110
[90]	10111000
[91]	10111000
[92]	10111110
[93]	11000010
[94]	11001000
[95]	11100000
[96]	11010101
[97]	11101001
[98]	11101111
[99]	11111010
[100]	11111100
[101]	00001100
[102]	00011100
[103]	00011001
[104]	00100001
[105]	00101000
[106]	00111010
[107]	00110101
[108]	00111100
[109]	01001100
[110]	01010011
[111]	01010001
[112]	01010001
[113]	01100110
[114]	01100011
[115]	01110100
[116]	01101101
[117]	01101010
[118]	01101010
[119]	01110010
[120]	01110010
[121]	01111110
[122]	01111111
[123]	01111111
[124]	01111100
[125]	01111000
[126]	01111111
[127]	01111111
[128]	01110100
[129]	01111111
[130]	01111110
[131]	01111111
[132]	01110000
[133]	01110110
[134]	01101100
[135]	01101100
[136]	01101111
[137]	01100111
[138]	01010110
[139]	01001000
[140]	01001001
[141]	00111111
[142]	00110101
[143]	00110000
[144]	00110010
[145]	00110010
[146]	00010100
[147]	00011011
[148]	00000110
[149]	00000001
[150]	00000001
[151]	00000100
[152]	11111100
[153]	11100001
[154]	11100101
[155]	11001110
[156]	11010001
[157]	11001001
[158]	11001001
[159]	11000000
[160]	10101110
[161]	10110101
[162]	10100001
[163]	10010111
[164]	10010100
[165]	10010011
[166]	10001010
[167]	10010010
[168]	10011000
[169]	10000101
[170]	10010010
[171]	10000101
[172]	10000000
[173]	10001001
[174]	10000000
[175]	10000000
[176]	10000000
[177]	10000111
[178]	10000110
[179]	10000000
[180]	10000000
[181]	10000010
[182]	10000110
[183]	10011010
[184]	10010000
[185]	10010010
[186]	10011110
[187]	10010110
[188]	10101110
[189]	10100010
[190]	10111010
[191]	10111100
[192]	10111011
[193]	11000001
[194]	11011011
[195]	11011011
[196]	11101011
[197]	11101011
[198]	11111011
[199]	11110111
[200]	00001001
[201]	11111100
[202]	00010100
[203]	00011010
[204]	00100101
[205]	00110011
[206]	00100010
[207]	01000001
[208]	01001001
[209]	01000010
[210]	01000100
[211]	01011100
[212]	01010000
[213]	01011011
[214]	01011000
[215]	01101000
[216]	01110111
[217]	01110100
[218]	01111111
[219]	01110001
[220]	01110010
[221]	01101111
[222]	01111010
[223]	01111111
[224]	01111111
[225]	01111111
[226]	01111111
[227]	01111001
[228]	01111101
[229]	01110110
[230]	01110100
[231]	01111011
[232]	01101000
[233]	01111010
[234]	01101010
[235]	01110001
[236]	01011100
[237]	01010011
[238]	01011010
[239]	01001011
[240]	01010110
[241]	01001001
[242]	00111101
[243]	01000011
[244]	00111000
[245]	00100011
[246]	00100000
[247]	00010010
[248]	00001110
[249]	00001110
[250]	00000110
[251]	11101101
[252]	11100101
[253]	11110011
[254]	11101100
[255]	11010010
[256]	11011010
[257]	11000011
[258]	11000100
[259]	10110001
[260]	10111110
[261]	10100110
[262]	10100111
[263]	10011000
[264]	10010001
[265]	10011001
[266]	10001100
[267]	10001100
[268]	10000100
[269]	10010010
[270]	10010001
[271]	10001110
[272]	10000101
[273]	10000000
[274]	10000000
[275]	10000101
[276]	10000110
[277]	10000000
[278]	10001110
[279]	10010000
[280]	10010001
[281]	10001001
[282]	10000010
[283]	10001001
[284]	10010000
[285]	10100010
[286]	10100011
[287]	10010110
[288]	10101111
[289]	10101011
[290]	10110101
[291]	11000000
[292]	10111011
[293]	11000110
[294]	11001010
[295]	11010110
[296]	11100110
[297]	11100011
[298]	11110010
[299]	11111111
[300]	11110110
[301]	00000000
[302]	00011010
[303]	00011100
[304]	00100111
[305]	00011111
[306]	00100101
[307]	00101101
[308]	00111011
[309]	01001000
[310]	01010101
[311]	01010011
[312]	01010101
[313]	01011001
[314]	01101110
[315]	01100100
[316]	01100010
[317]	01110001
[318]	01111110
[319]	01101011
[320]	01110011
[321]	01111111
[322]	01111011
[323]	01111111
[324]	01111111
[325]	01111110
[326]	01111010
[327]	01110110
[328]	01111011
[329]	01111111
[330]	01111100
[331]	01101011
[332]	01110111
[333]	01110010
[334]	01110011
[335]	01100110
[336]	01100110
[337]	01011111
[338]	01001100
[339]	01010000
[340]	01001110
[341]	01000110
[342]	01000101
[343]	00111010
[344]	00111000
[345]	00100101
[346]	00101101
[347]	00011010
[348]	00010001
[349]	00010011
[350]	00000101
[351]	11111110
[352]	11111101
[353]	11100111
[354]	11010101
[355]	11011000
[356]	11010011
[357]	11010110
[358]	11000010
[359]	11000110
[360]	10101010
[361]	10111000
[362]	10110001
[363]	10101100
[364]	10100111
[365]	10011111
[366]	10001011
[367]	10001100
[368]	10000100
[369]	10010010
[370]	10000000
[371]	10000000
[372]	10000000
[373]	10000011
[374]	10000000
[375]	10000000
[376]	10001011
[377]	10000000
[378]	10001100
[379]	10000111
[380]	10001011
[381]	10000001
[382]	10000100
[383]	10001100
[384]	10011001
[385]	10011111
[386]	10011101
[387]	10010101
[388]	10101000
[389]	10101110
[390]	10101001
[391]	10110100
[392]	10111011
[393]	11000101
[394]	11010011
[395]	11010000
[396]	11010110
[397]	11110001
[398]	11101111
[399]	11111101
[400]	00000100
[401]	11111111
[402]	00000100
[403]	00100010
[404]	00100001
[405]	00110001
[406]	00101101
[407]	00101110
[408]	01000010
[409]	01000101
[410]	01001001
[411]	01001110
[412]	01001011
[413]	01100000
[414]	01100101
[415]	01101100
[416]	01101000
[417]	01111010
[418]	01110111
[419]	01111101
[420]	01111010
[421]	01111111
[422]	01111101
[423]	01111111
[424]	01111111
[425]	01111111
[426]	01111000
[427]	01110011
[428]	01110111
[429]	01111111
[430]	01101111
[431]	01110101
[432]	01111011
[433]	01100111
[434]	01100110
[435]	01011110
[436]	01101011
[437]	01101011
[438]	01010111
[439]	01010111
[440]	01010101
[441]	00111010
[442]	01000011
[443]	00111110
[444]	00111100
[445]	00100111
[446]	00101100
[447]	00010011
[448]	00011011
[449]	00000100
[450]	00000011
[451]	11110100
[452]	11110010
[453]	11011111
[454]	11100001
[455]	11100011
[456]	11000110
[457]	11001101
[458]	11000100
[459]	11000101
[460]	10110011
[461]	10100011
[462]	10101010
[463]	10011101
[464]	10011001
[465]	10100011
[466]	10100000
[467]	10010000
[468]	10000001
[469]	10000110
[470]	10000011
[471]	10001011
[472]	10000000
[473]	10000000
[474]	10000000
[475]	10001000
[476]	10000000
[477]	10000000
[478]	10000000
[479]	10000110
[480]	10001011
[481]	10000011
[482]	10000101
[483]	10001011
[484]	10011100
[485]	10011011
[486]	10101000
[487]	10011001
[488]	10100000
[489]	10110010
[490]	10110000
[491]	10110111
[492]	11000001
[493]	11000001
[494]	11011011
[495]	11001101
[496]	11100001
[497]	11110001
[498]	11111010
[499]	11111110
[500]	11111000
[501]	00000010
[502]	00001011
[503]	00011100
[504]	00011110
[505]	00011010
[506]	00100111
[507]	00110101
[508]	00110011
[509]	00111010
[510]	01010110
[511]	01000101
[512]	01001010
[513]	01011010
[514]	01100001
[515]	01100000
[516]	01100101
[517]	01101100
[518]	01101010
[519]	01101111
[520]	01111111
[521]	01111111
[522]	01111111
[523]	01111111
[524]	01111000
[525]	01111111
[526]	01111111
[527]	01111111
[528]	01111110
[529]	01110110
[530]	01110001
[531]	01111101
[532]	01101100
[533]	01111011
[534]	01101010
[535]	01100011
[536]	01011101
[537]	01100101
[538]	01011101
[539]	01001001
[540]	01011000
[541]	00111111
[542]	00111011
[543]	01000011
[544]	00101110
[545]	00101001
[546]	00011000
[547]	00100101
[548]	00010111
[549]	11111101
[550]	11110110
[551]	11111010
[552]	11111110
[553]	11100110
[554]	11101011
[555]	11010000
[556]	11001100
[557]	11010111
[558]	11001001
[559]	11001000
[560]	10101110
[561]	10111101
[562]	10101001
[563]	10100010
[564]	10100001
[565]	10100001
[566]	10010000
[567]	10000100
[568]	10000110
[569]	10000000
[570]	10000001
[571]	10000000
[572]	10001011
[573]	10000000
[574]	10001100
[575]	10001000
[576]	10000000
[577]	10000000
[578]	10001101
[579]	10000001
[580]	10001010
[581]	10000011
[582]	10001001
[583]	10001110
[584]	10001010
[585]	10001100
[586]	10001111
[587]	10011101
[588]	10101100
[589]	10101110
[590]	10101011
[591]	11000000
[592]	11001100
[593]	10111100
[594]	11010011
[595]	11010110
[596]	11100010
[597]	11100110
[598]	11100011
[599]	11110001
[600]	00000001
[601]	11111011
[602]	00001000
[603]	00011110
[604]	00011100
[605]	00100001
[606]	00100110
[607]	00110100
