[0],0
[1],8
[2],16
[3],24
[4],32
[5],39
[6],47
[7],54
[8],61
[9],68
[10],75
[11],81
[12],87
[13],93
[14],98
[15],103
[16],108
[17],112
[18],116
[19],119
[20],122
[21],124
[22],126
[23],127
[24],127
[25],127
[26],127
[27],127
[28],126
[29],124
[30],122
[31],119
[32],116
[33],112
[34],108
[35],104
[36],99
[37],93
[38],88
[39],82
[40],75
[41],69
[42],62
[43],54
[44],47
[45],40
[46],32
[47],24
[48],16
[49],8
[50],0
[51],-8
[52],-16
[53],-24
[54],-32
[55],-40
[56],-47
[57],-55
[58],-62
[59],-69
[60],-75
[61],-82
[62],-88
[63],-94
[64],-99
[65],-104
[66],-108
[67],-112
[68],-116
[69],-119
[70],-122
[71],-124
[72],-126
[73],-127
[74],-128
[75],-128
[76],-128
[77],-128
[78],-126
[79],-125
[80],-122
[81],-120
[82],-116
[83],-113
[84],-109
[85],-104
[86],-99
[87],-94
[88],-88
[89],-82
[90],-76
[91],-69
[92],-62
[93],-55
[94],-48
[95],-40
[96],-33
[97],-25
[98],-17
[99],-9
[100],-1
[101],7
[102],15
[103],23
[104],31
[105],39
[106],47
[107],54
[108],61
[109],68
[110],75
[111],81
[112],87
[113],93
[114],98
[115],103
[116],108
[117],112
[118],116
[119],119
[120],121
[121],124
[122],126
[123],127
[124],127
[125],127
[126],127
[127],127
[128],126
[129],124
[130],122
[131],119
[132],116
[133],112
[134],108
[135],104
[136],99
[137],94
[138],88
[139],82
[140],76
[141],69
[142],62
[143],55
[144],47
[145],40
[146],32
[147],24
[148],16
[149],8
[150],0
[151],-8
[152],-16
[153],-24
[154],-32
[155],-39
[156],-47
[157],-54
[158],-61
[159],-68
[160],-75
[161],-81
[162],-88
[163],-93
[164],-99
[165],-104
[166],-108
[167],-112
[168],-116
[169],-119
[170],-122
[171],-124
[172],-126
[173],-127
[174],-128
[175],-128
[176],-128
[177],-128
[178],-126
[179],-125
[180],-122
[181],-120
[182],-117
[183],-113
[184],-109
[185],-104
[186],-100
[187],-94
[188],-89
[189],-83
[190],-76
[191],-70
[192],-63
[193],-56
[194],-48
[195],-41
[196],-33
[197],-25
[198],-17
[199],-9
[200],-1
[201],7
[202],15
[203],23
[204],31
[205],39
[206],46
[207],54
[208],61
[209],68
[210],74
[211],81
[212],87
[213],93
[214],98
[215],103
[216],107
[217],112
[218],115
[219],119
[220],121
[221],124
[222],125
[223],127
[224],127
[225],127
[226],127
[227],127
[228],126
[229],124
[230],122
[231],119
[232],116
[233],113
[234],108
[235],104
[236],99
[237],94
[238],88
[239],82
[240],76
[241],69
[242],62
[243],55
[244],48
[245],40
[246],33
[247],25
[248],17
[249],9
[250],1
[251],-7
[252],-15
[253],-23
[254],-31
[255],-39
[256],-47
[257],-54
[258],-61
[259],-68
[260],-75
[261],-81
[262],-87
[263],-93
[264],-98
[265],-103
[266],-108
[267],-112
[268],-116
[269],-119
[270],-122
[271],-124
[272],-126
[273],-127
[274],-128
[275],-128
[276],-128
[277],-128
[278],-126
[279],-125
[280],-123
[281],-120
[282],-117
[283],-113
[284],-109
[285],-105
[286],-100
[287],-95
[288],-89
[289],-83
[290],-77
[291],-70
[292],-63
[293],-56
[294],-49
[295],-41
[296],-33
[297],-25
[298],-18
[299],-10
[300],-2
[301],7
[302],15
[303],23
[304],30
[305],38
[306],46
[307],53
[308],60
[309],67
[310],74
[311],80
[312],87
[313],92
[314],98
[315],103
[316],107
[317],111
[318],115
[319],118
[320],121
[321],124
[322],125
[323],127
[324],127
[325],127
[326],127
[327],127
[328],126
[329],124
[330],122
[331],119
[332],116
[333],113
[334],109
[335],104
[336],99
[337],94
[338],88
[339],83
[340],76
[341],70
[342],63
[343],56
[344],48
[345],41
[346],33
[347],25
[348],17
[349],9
[350],1
[351],-7
[352],-15
[353],-23
[354],-31
[355],-39
[356],-46
[357],-54
[358],-61
[359],-68
[360],-74
[361],-81
[362],-87
[363],-93
[364],-98
[365],-103
[366],-108
[367],-112
[368],-116
[369],-119
[370],-122
[371],-124
[372],-126
[373],-127
[374],-128
[375],-128
[376],-128
[377],-128
[378],-126
[379],-125
[380],-123
[381],-120
[382],-117
[383],-113
[384],-109
[385],-105
[386],-100
[387],-95
[388],-89
[389],-83
[390],-77
[391],-70
[392],-63
[393],-56
[394],-49
[395],-41
[396],-34
[397],-26
[398],-18
[399],-10
[400],-2
[401],6
[402],14
[403],22
[404],30
[405],38
[406],45
[407],53
[408],60
[409],67
[410],74
[411],80
[412],86
[413],92
[414],97
[415],102
[416],107
[417],111
[418],115
[419],118
[420],121
[421],123
[422],125
[423],127
[424],127
[425],127
[426],127
[427],127
[428],126
[429],124
[430],122
[431],120
[432],116
[433],113
[434],109
[435],104
[436],100
[437],94
[438],89
[439],83
[440],77
[441],70
[442],63
[443],56
[444],49
[445],41
[446],33
[447],26
[448],18
