k,DFTRe,DFTIm,FFTRe,FFTIm
0,-0.1301,-0.0,-0.1301,0.0
1,0.0061,0.0218,0.0061,0.0218
2,0.0321,-2.3785,0.0321,-2.3785
3,-0.0431,0.033,-0.0431,0.033
4,-0.1901,0.0,-0.1901,0.0
5,-0.0431,-0.033,-0.0431,-0.033
6,0.0321,2.3785,0.0321,2.3785
7,0.0061,-0.0218,0.0061,-0.0218
