k,DFTRe,DFTIm,FFTRe,FFTIm
0,0.5,-0.0,0.5,0.0
1,0.3018,0.0,0.3018,0.0
2,0.0,0.0,0.0,0.0
3,-0.0518,0.0,-0.0518,0.0
4,0.0,0.0,0.0,0.0
5,-0.0518,0.0,-0.0518,0.0
6,0.0,0.0,0.0,0.0
7,0.3018,0.0,0.3018,0.0
