k,DFTRe,DFTIm,FFTRe,FFTIm
0,0.0,-0.0,0.0,0.0
1,0.0,-0.3018,0.0,-0.3018
2,0.0,0.125,0.0,0.125
3,0.0,-0.0518,0.0,-0.0518
4,0.0,0.0,0.0,0.0
5,0.0,0.0518,0.0,0.0518
6,0.0,-0.125,0.0,-0.125
7,0.0,0.3018,0.0,0.3018
