time,sampling,quantize,encode
0.89,-2.939,-76,10110100
0.891,-2.679,-69,10111011
0.892,-2.409,-62,11000010
0.893,-2.129,-55,11001001
0.894,-1.841,-48,11010000
0.895,-1.545,-40,11011000
0.896,-1.243,-32,11100000
0.897,-0.937,-24,11101000
0.898,-0.627,-17,11101111
0.899,-0.314,-9,11110111
0.9,0.0,0,00000000
0.901,0.314,8,00001000
0.902,0.627,16,00010000
0.903,0.937,23,00010111
0.904,1.243,31,00011111
0.905,1.545,39,00100111
0.906,1.841,47,00101111
0.907,2.129,54,00110110
0.908,2.409,61,00111101
0.909,2.679,68,01000100
0.91,2.939,75,01001011
0.911,3.187,81,01010001
0.912,3.423,87,01010111
0.913,3.645,93,01011101
0.914,3.853,98,01100010
0.915,4.045,103,01100111
0.916,4.222,108,01101100
0.917,4.382,112,01110000
0.918,4.524,115,01110011
0.919,4.649,119,01110111
0.92,4.755,121,01111001
0.921,4.843,123,01111011
0.922,4.911,125,01111101
0.923,4.961,127,01111111
0.924,4.99,127,01111111
0.925,5.0,127,01111111
0.926,4.99,127,01111111
0.927,4.961,127,01111111
0.928,4.911,125,01111101
0.929,4.843,123,01111011
0.93,4.755,121,01111001
0.931,4.649,119,01110111
0.932,4.524,115,01110011
0.933,4.382,112,01110000
0.934,4.222,108,01101100
0.935,4.045,103,01100111
0.936,3.853,98,01100010
0.937,3.645,93,01011101
0.9380000000000001,3.423,87,01010111
0.9390000000000001,3.187,81,01010001
0.9400000000000001,2.939,75,01001011
0.9410000000000001,2.679,68,01000100
0.9420000000000001,2.409,61,00111101
0.9430000000000001,2.129,54,00110110
0.9440000000000001,1.841,47,00101111
0.9450000000000001,1.545,39,00100111
0.9460000000000001,1.243,31,00011111
0.9470000000000001,0.937,23,00010111
0.9480000000000001,0.627,16,00010000
0.9490000000000001,0.314,8,00001000
0.9500000000000001,0.0,0,00000000
0.9510000000000001,-0.314,-9,11110111
0.9520000000000001,-0.627,-17,11101111
0.9530000000000001,-0.937,-24,11101000
0.9540000000000001,-1.243,-32,11100000
0.9550000000000001,-1.545,-40,11011000
0.9560000000000001,-1.841,-48,11010000
0.9570000000000001,-2.129,-55,11001001
0.9580000000000001,-2.409,-62,11000010
0.9590000000000001,-2.679,-69,10111011
0.96,-2.939,-76,10110100
0.961,-3.187,-82,10101110
0.962,-3.423,-88,10101000
0.963,-3.645,-94,10100010
0.964,-3.853,-99,10011101
0.965,-4.045,-104,10011000
0.966,-4.222,-109,10010011
0.967,-4.382,-113,10001111
0.968,-4.524,-116,10001100
0.969,-4.649,-120,10001000
0.97,-4.755,-122,10000110
0.971,-4.843,-124,10000100
0.972,-4.911,-126,10000010
0.973,-4.961,-127,10000001
0.974,-4.99,-128,10000000
0.975,-5.0,-128,10000000
0.976,-4.99,-128,10000000
0.977,-4.961,-127,10000001
0.978,-4.911,-126,10000010
0.979,-4.843,-124,10000100
0.98,-4.755,-122,10000110
0.981,-4.649,-120,10001000
0.982,-4.524,-116,10001100
0.983,-4.382,-113,10001111
0.984,-4.222,-109,10010011
0.985,-4.045,-104,10011000
0.986,-3.853,-99,10011101
0.987,-3.645,-94,10100010
0.988,-3.423,-88,10101000
0.989,-3.187,-82,10101110
0.99,-2.939,-76,10110100
0.991,-2.679,-69,10111011
0.992,-2.409,-62,11000010
0.993,-2.129,-55,11001001
0.994,-1.841,-48,11010000
0.995,-1.545,-40,11011000
0.996,-1.243,-32,11100000
0.997,-0.937,-24,11101000
0.998,-0.627,-17,11101111
0.999,-0.314,-9,11110111
