time,sampling,quantize,encode
0.20400000000000001,1.243,31,00011111
0.20500000000000002,1.545,39,00100111
0.20600000000000002,1.841,47,00101111
0.20700000000000002,2.129,54,00110110
0.20800000000000002,2.409,61,00111101
0.209,2.679,68,01000100
0.21,2.939,75,01001011
0.211,3.187,81,01010001
0.212,3.423,87,01010111
0.213,3.645,93,01011101
0.214,3.853,98,01100010
0.215,4.045,103,01100111
0.216,4.222,108,01101100
0.217,4.382,112,01110000
0.218,4.524,115,01110011
0.219,4.649,119,01110111
0.22,4.755,121,01111001
0.221,4.843,123,01111011
0.222,4.911,125,01111101
0.223,4.961,127,01111111
0.224,4.99,127,01111111
0.225,5.0,127,01111111
0.226,4.99,127,01111111
0.227,4.961,127,01111111
0.228,4.911,125,01111101
0.229,4.843,123,01111011
0.23,4.755,121,01111001
0.231,4.649,119,01110111
0.232,4.524,115,01110011
0.233,4.382,112,01110000
0.234,4.222,108,01101100
0.23500000000000001,4.045,103,01100111
0.23600000000000002,3.853,98,01100010
0.23700000000000002,3.645,93,01011101
0.23800000000000002,3.423,87,01010111
0.23900000000000002,3.187,81,01010001
0.24,2.939,75,01001011
0.241,2.679,68,01000100
0.242,2.409,61,00111101
0.243,2.129,54,00110110
0.244,1.841,47,00101111
0.245,1.545,39,00100111
0.246,1.243,31,00011111
0.247,0.937,23,00010111
0.248,0.627,16,00010000
0.249,0.314,8,00001000
0.25,0.0,0,00000000
0.251,-0.314,-9,11110111
0.252,-0.627,-17,11101111
0.253,-0.937,-24,11101000
0.254,-1.243,-32,11100000
0.255,-1.545,-40,11011000
0.256,-1.841,-48,11010000
0.257,-2.129,-55,11001001
0.258,-2.409,-62,11000010
0.259,-2.679,-69,10111011
0.26,-2.939,-76,10110100
0.261,-3.187,-82,10101110
0.262,-3.423,-88,10101000
0.263,-3.645,-94,10100010
0.264,-3.853,-99,10011101
0.265,-4.045,-104,10011000
0.266,-4.222,-109,10010011
0.267,-4.382,-113,10001111
0.268,-4.524,-116,10001100
0.269,-4.649,-120,10001000
0.27,-4.755,-122,10000110
0.271,-4.843,-124,10000100
0.272,-4.911,-126,10000010
